"Subject","Start Date","Start Time","End Date","End Time","All day event","Reminder on/off","Reminder Date","Reminder Time","Categories","Description","Location","Private"
"Staatsfeiertag","05/01/21","12:00:00 ","05/02/21","12:00:00 ","True","False","","","","","","False"
"AnfangSemesterferien","02/15/21","12:00:00 ","02/15/21","12:00:00 ","True","False","","","","","","False"
"Ende Semesterferien","02/23/21","12:00:00 ","02/23/21","12:00:00 ","True","False","","","","","","False"
"Heiligen drei Könige","01/06/21","00:00:00 ","01/06/21","00:00:10 ","True","False","","","","","","False"
"Übungsabgabe MEDT","03/01/21","00:00:00 ","03/01/21","00:00:10 ","True","False","","","","","","False"
"Übungsabgabe MEDT","11/11/20","00:00:00 ","11/11/20","00:00:10 ","True","False","","","","","","False"
"Übungsabgabe MEDT","11/18/20","00:00:00 ","11/18/20","00:00:10 ","True","False","","","","","","False"
"Übungsabgabe MEDT","11/25/20","00:00:00 ","11/25/20","00:00:10 ","True","False","","","","","","False"
"Übungsabgabe MEDT","12/12/20","00:00:00 ","12/11/20","00:00:10 ","True","False","","","","","","False"
"Weihnachten","12/24/20","00:00:00 ","12/24/20","00:00:10 ","True","False","","","","","","False"
